,Input Deck,phase-field_model,mobility_coefficients-1,mobility_coefficients-2,free-energy_barrier,gradient-energy_coefficient,composition_distribution-1,composition_distribution-2,composition_distribution-3,composition_distribution-4,domain-size_physical-1,domain-size_physical-2,domain-size_physical-3,domain-size_numerical-1,domain-size_numerical-2,domain-size_numerical-3,time-step_size,time-step_iterations,output_diary-data-1,output_diary-data-2,output_field-data-1,output_field-data-2,output_field-data-3,output_field-data-4,output_field-data-5,phase_field-1,phase_field-2,phase_field-3,phase_field-4,phase_field-5,phase_field-6,phase_field-7,phase_field-8,phase_field-9,phase_field-10,phase_field-11,phase_field-12,phase_field-13
example-data\spinodal\workdir.7\,example-data\spinodal\workdir.7\in.cahn_hilliard,cahn_hilliard,8.17E+01,7.93E+01,1.0d0,1.0d0,-2.59E-01,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0
example-data\spinodal\workdir.15\,example-data\spinodal\workdir.15\in.cahn_hilliard,cahn_hilliard,7.90E+01,1.80E+01,1.0d0,1.0d0,2.11E-01,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0
example-data\spinodal\workdir.18\,example-data\spinodal\workdir.18\in.cahn_hilliard,cahn_hilliard,6.99E+01,8.94E+01,1.0d0,1.0d0,6.17E-02,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0
example-data\spinodal\workdir.20\,example-data\spinodal\workdir.20\in.cahn_hilliard,cahn_hilliard,8.67E+01,9.95E+01,1.0d0,1.0d0,-8.15E-02,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0
example-data\spinodal\workdir.27\,example-data\spinodal\workdir.27\in.cahn_hilliard,cahn_hilliard,8.43E+01,2.11E+01,1.0d0,1.0d0,6.40E-02,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0
example-data\spinodal\workdir.33\,example-data\spinodal\workdir.33\in.cahn_hilliard,cahn_hilliard,1.43E+01,9.88E+01,1.0d0,1.0d0,2.27E-01,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0
example-data\spinodal\workdir.34\,example-data\spinodal\workdir.34\in.cahn_hilliard,cahn_hilliard,2.73E+01,4.88E+01,1.0d0,1.0d0,-3.58E-01,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0
example-data\spinodal\workdir.37\,example-data\spinodal\workdir.37\in.cahn_hilliard,cahn_hilliard,8.34E+01,8.52E+01,1.0d0,1.0d0,3.71E-01,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0
example-data\spinodal\workdir.39\,example-data\spinodal\workdir.39\in.cahn_hilliard,cahn_hilliard,4.56E+01,9.07E+01,1.0d0,1.0d0,3.12E-01,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0
example-data\spinodal\workdir.40\,example-data\spinodal\workdir.40\in.cahn_hilliard,cahn_hilliard,4.13E+01,5.54E+01,1.0d0,1.0d0,-2.07E-01,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0
example-data\spinodal\workdir.43\,example-data\spinodal\workdir.43\in.cahn_hilliard,cahn_hilliard,9.59E+01,8.69E+01,1.0d0,1.0d0,-3.38E-01,0.35d0,-0.95d0,0.95d0,512,512,1,512,512,1,1.0d-4,50000000,uniform,500000,serial,vtk,binary,uniform,500000,explicit_euler,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0,p,0.0d0
