%eval_id,interface,impact_speed_mps,coef_friction,eqps_thold,max_hourglass_energy,max_fillAccel_Y,max_HI_ratio,max_HE_ratio,tot_failed_bolts,model_failure_time_bolts,is_breached
1,interface1,32.88086141,0.3254158305,0.2682267815,30181.2,2964630,0.0925863,0.0822882,24,0.000770031,0
2,interface1,23.33387508,0.2747192492,0.2943710944,14854.4,1777910,0.0903022,0.0813844,18,0.00133337,0
3,interface1,25.88700111,0.2030854965,0.2560051407,19114.4,1743200,0.0907332,0.083672,19,0.00132003,0
4,interface1,16.37319157,0.2524561081,0.3294145207,6972.62,1507970,0.0899901,0.0812478,4,0.00192003,0
5,interface1,29.24550519,0.2879533814,0.3162726347,22301.2,1920240,0.0838479,0.0769866,21,0.00122669,0
6,interface1,11.34030138,0.3933905911,0.2705084006,2460.51,1231400,0.0944046,0.0630401,0,0.0,0
7,interface1,37.69574217,0.3102607043,0.3005232364,37545.2,2704700,0.0901929,0.0782899,24,0.000780049,0
8,interface1,14.37396128,0.3478646782,0.2802366237,4885.69,1315930,0.085825,0.0759518,2,0.0,0
9,interface1,34.34287242,0.3762016687,0.3363813095,31297.4,2177050,0.0870457,0.0788546,22,0.000770015,0
10,interface1,20.14246231,0.2226916576,0.3410523716,11079.4,1685270,0.0900022,0.0829842,15,0.00154667,0
